area,index,starttime,endtime
A41/42,178,37.1875,37.328125,
A41/42,179,37.34375,37.484375,
A41/42,180,37.8125,37.953125,
A41/42,181,37.96875,38.109375,
A41/42,182,38.125,38.265625,
A41/42,183,38.28125,38.421875,
A41/42,184,38.4375,38.578125,
A41/42,185,38.59375,38.734375,
A41/42,186,39.0625,39.203125,
A41/42,187,39.21875,39.359375,
A41/42,188,39.375,39.515625,
A41/42,189,39.53125,39.671875,
A41/42,190,39.6875,39.828125,
A41/42,191,39.84375,39.984375,
A41/42,192,40.3125,40.453125,
A41/42,193,40.46875,40.609375,
A41/42,194,40.625,40.765625,
A41/42,195,40.78125,40.921875,
A41/42,196,40.9375,41.078125,
A41/42,197,41.09375,41.234375,
A41/42,198,41.5625,41.703125,
A41/42,199,41.71875,41.859375,
A41/42,200,41.875,42.015625,
A41/42,201,42.03125,42.171875,
A41/42,202,42.1875,42.328125,
A41/42,203,42.34375,42.484375,
A41/42,204,42.8125,42.953125,
A41/42,205,42.96875,43.109375,
A41/42,206,43.125,43.265625,
A41/42,207,43.28125,43.421875,
A41/42,208,43.4375,43.578125,
A41/42,209,43.59375,43.734375,
A41/42,210,44.0625,44.203125,
A41/42,211,44.21875,44.359375,
A41/42,212,44.375,44.515625,
A41/42,213,44.53125,44.671875,
A41/42,214,44.6875,44.828125,
A41/42,215,44.84375,44.984375,
A41/42,216,45.3125,45.453125,
A41/42,217,45.46875,45.609375,
A41/42,218,45.625,45.765625,
A41/42,219,45.78125,45.921875,
A41/42,220,45.9375,46.078125,
A41/42,221,46.09375,46.234375,
A41/42,222,46.5625,46.703125,
A41/42,223,46.71875,46.859375,
A41/42,224,46.875,47.015625,
A41/42,225,47.03125,47.171875,
A41/42,226,47.1875,47.328125,
A41/42,227,47.34375,47.484375,
A41/42,228,47.8125,47.953125,
A41/42,229,47.96875,48.109375,
A41/42,230,48.125,48.265625,
A41/42,231,48.28125,48.421875,
A41/42,232,48.4375,48.578125,
A41/42,233,48.59375,48.734375,
A41/42,234,49.0625,49.203125,
A41/42,235,49.21875,49.359375,
A41/42,236,49.375,49.515625,
A41/42,237,49.53125,49.671875,
A41/42,238,49.6875,49.828125,
A41/42,239,49.84375,49.984375,
A41/42,240,50.3125,50.453125,
A41/42,241,50.46875,50.609375,
A41/42,242,50.625,50.765625,
A41/42,243,50.78125,50.921875,
A41/42,244,50.9375,51.078125,
A41/42,245,51.09375,51.234375,
A41/42,246,51.5625,51.703125,
A41/42,247,51.71875,51.859375,
A41/42,248,51.875,52.015625,
A41/42,249,52.03125,52.171875,
A41/42,250,52.1875,52.328125,
A41/42,251,52.34375,52.484375,
A41/42,252,52.8125,52.953125,
A41/42,253,52.96875,53.109375,
A41/42,254,53.125,53.265625,
A41/42,255,53.28125,53.421875,
A41/42,256,53.4375,53.578125,
A41/42,257,53.59375,53.734375,
A41/42,258,54.0625,54.203125,
A41/42,259,54.21875,54.359375,
A41/42,260,54.375,54.515625,
A41/42,261,54.53125,54.671875,
A41/42,262,54.6875,54.828125,
A41/42,263,54.84375,54.984375,
A41/42,264,55.3125,55.453125,
A41/42,265,55.46875,55.609375,
A41/42,266,55.625,55.765625,
