pre,post,weight,delay,type
1_I_125_1,1_N_1_1,3,0,2
1_V_9_1,1_N_1_1,3,0,2
1_I_133_1,1_N_1_1,3,0,2
1_V_9_1,1_N_1_1,3,0,2
1_I_134_1,1_N_1_1,3,0,2
1_V_9_1,1_N_1_1,3,0,2
1_I_136_1,1_N_1_1,3,0,2
1_V_9_1,1_N_1_1,3,0,2
1_I_137_1,1_N_1_1,3,0,2
1_V_9_1,1_N_1_1,3,0,2
1_I_138_1,1_N_1_1,3,0,2
1_V_9_1,1_N_1_1,3,0,2
1_I_139_1,1_N_1_1,3,0,2
1_V_10_1,1_N_1_1,3,0,2
1_I_140_1,1_N_1_1,3,0,2
1_V_10_1,1_N_1_1,3,0,2
1_I_141_1,1_N_1_1,3,0,2
1_V_10_1,1_N_1_1,3,0,2
1_I_144_1,1_N_1_1,3,0,2
1_V_10_1,1_N_1_1,3,0,2
1_I_145_1,1_N_1_1,3,0,2
1_V_10_1,1_N_1_1,3,0,2
1_I_146_1,1_N_1_1,3,0,2
1_V_10_1,1_N_1_1,3,0,2
1_I_147_1,1_N_1_1,3,0,2
1_V_10_1,1_N_1_1,3,0,2
1_I_148_1,1_N_1_1,3,0,2
1_V_11_1,1_N_1_1,3,0,2
1_I_149_1,1_N_1_1,3,0,2
1_V_11_1,1_N_1_1,3,0,2
1_I_150_1,1_N_1_1,3,0,2
1_V_12_1,1_N_1_1,3,0,2
1_I_158_1,1_N_1_1,3,0,2
1_V_13_1,1_N_1_1,3,0,2
1_I_159_1,1_N_1_1,3,0,2
1_V_13_1,1_N_1_1,3,0,2
1_I_160_1,1_N_1_1,3,0,2
1_V_13_1,1_N_1_1,3,0,2
1_I_161_1,1_N_1_1,3,0,2
1_V_13_1,1_N_1_1,3,0,2
1_I_162_1,1_N_1_1,3,0,2
1_V_13_1,1_N_1_1,3,0,2
1_I_163_1,1_N_1_1,3,0,2
1_V_13_1,1_N_1_1,3,0,2
1_I_164_1,1_N_1_1,3,0,2
1_V_13_1,1_N_1_1,3,0,2
1_I_165_1,1_N_1_1,3,0,2
1_V_13_1,1_N_1_1,3,0,2
1_I_166_1,1_N_1_1,3,0,2
1_V_13_1,1_N_1_1,3,0,2
1_I_167_1,1_N_1_1,3,0,2
1_V_13_1,1_N_1_1,3,0,2
1_I_168_1,1_N_1_1,3,0,2
1_V_13_1,1_N_1_1,3,0,2
1_I_169_1,1_N_1_1,3,0,2
1_V_14_1,1_N_1_1,3,0,2
1_I_171_1,1_N_1_1,3,0,2
1_V_14_1,1_N_1_1,3,0,2
1_I_172_1,1_N_1_1,3,0,2
